id,sq1,sq2,sq3,sq4,sq5_1,sq5_2,sq6_1,sq6_2,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q1_9,q1_10,q1_1_1,q1_1_2,q1_1_3,q1_1_4,q1_1_5,q1_1_6,q1_1_7,q1_1_8,q1_1_9,q1_1_10,q1_1_11,q1_1_12,q1_1_13,q1_1_14,q1_1_15,q1_1_16,q1_1_17,q1_1_18,q1_1_19,q1_1_20,q1_1_21,q1_1_22,q1_1_23,q1_1_24,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q2_7,q2_8,q2_9,q2_10,q2_11,q2_12,q2_1_1,q2_1_2,q2_1_3,q2_1_4,q2_1_5,q2_1_6,q2_1_7,q2_1_8,q2_1_9,q2_2_1,q2_2_2,q2_2_3,q2_2_4,q2_2_5,q2_2_6,q2_2_7,q2_2_8,q2_2_9,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q3_8,q3_9,q3_10,q3_11,q3_12,q3_13,q3_14,q3_15,q3_16,q3_17,q3_18,q3_19,q3_20,q3_21,q3_22,q3_23,q3_24,q3_25,q3_26,q3_27,q3_28,q3_29,q3_30,q3_31,q3_32,q3_33,q3_34,q3_35,q3_36,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q4_7,q4_8,q4_9,q4_10,q4_11,q4_12,q4_13,q4_14,q4_15,q4_16,q4_17,q4_18,q4_19,q4_20,q4_21,q4_22,q4_23,q4_24,q4_25,q4_26,q4_27,q4_28,q4_29,q4_30,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q5_9,q5_10,q5_11,q5_12,q5_13,q5_14,q5_15,q5_16,q5_17,q5_18,q5_19,q5_20,q5_21,q5_22,q5_23,q6_1,q6_2,q6_3,q6_4,q6_5,q6_6,q6_7,q6_8,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q7_7,q7_8,q7_9,q7_10,q7_11,q7_1_1,q7_1_1a,q7_1_1b,q7_1_2_1,q7_1_2_2,q7_1_2_3,q7_1_2_4,q7_1_2_5,q7_1_2_6,q7_1_2_7,q7_1_2_8,q7_1_2_9,q7_1_2_10,q7_1_2_11,q7_1_2_12,q7_2_1,q7_2_2,q7_2_3,q7_2_4,q7_2_5,q7_2_6,q7_2_7,q7_2_1_1,q7_2_1a,q7_2_1b,q7_2_2_1,q7_2_2_2,q7_2_2_3,q7_2_2_4,q7_2_2_5,q7_2_2_6,q7_2_2_7,q7_2_2_8,q7_3_1,q7_3_2,q7_3_3,q7_3_4,q7_3_5,q7_3_6,q7_3_7,q7_3_8,q7_3_9,q7_3_10,q7_3_11,q7_3_12,q7_3_1_1,q7_3_1a,q7_3_1b,q7_3_2_1,q7_3_2_2,q7_3_2_3,q7_3_2_4,q7_3_2_5,q7_3_2_6,q7_3_2_7,q7_3_2_8,q7_3_2_9,q7_3_2_10,q7_3_2_11,q7_3_2_12,q7_3_2_13,q7_4_1,q7_4_2,q7_4_3,q7_4_4,q7_4_5,q7_4_6,q7_4_7,q7_4_8,q7_4_9,q7_4_10,q7_4_11,q7_4_1_1,q7_4_1a,q7_4_1b,q7_4_2_1,q7_4_2_2,q7_4_2_3,q7_4_2_4,q7_4_2_5,q7_4_2_6,q7_4_2_7,q7_4_2_8,q7_4_2_9,q7_4_2_10,q7_4_2_11,q7_4_2_12,q7_5_1,q7_5_2,q7_5_3,q7_5_4,q7_5_5,q7_5_6,q7_5_1_1,q7_5_1a,q7_5_1b,q7_5_2_1,q7_5_2_2,q7_5_2_3,q7_5_2_4,q7_5_2_5,q7_5_2_6,q7_5_2_7,q7_6_1,q7_6_1_1,q7_6_1_2,q7_6_1_3,q7_6_1_4,q7_6_1_5,q7_6_1_6,q7_6_1_7,q7_6_1_8,q7_6_1_9,q7_6_2,q7_6_3,q7_7_1,q7_7_1_1,q7_7_1_2,q7_7_1_3,q7_7_1_4,q7_7_1_5,q7_7_1_6,q7_7_1_7,q7_7_1_8,q7_7_1_9,q7_7_2,q7_7_3,q7_8_1,q7_8_1_1,q7_8_1_2,q7_8_1_3,q7_8_1_4,q7_8_1_5,q7_8_1_6,q7_8_1_7,q7_8_1_8,q7_8_1_9,q7_8_2,q7_8_3,q7_9_1,q7_9_1_1,q7_9_1_2,q7_9_1_3,q7_9_1_4,q7_9_1_5,q7_9_1_6,q7_9_1_7,q7_9_1_8,q7_9_1_9,q7_9_2,q7_9_3,q7_10_1,q7_10_1_1,q7_10_1_2,q7_10_1_3,q7_10_1_4,q7_10_1_5,q7_10_1_6,q7_10_1_7,q7_10_1_8,q7_10_1_9,q7_10_2,q7_10_3,q8_2,q8_3_1,q8_3_2a,q8_3_2b,q8_3_3,q8_3_4_1,q8_3_4_2,q8_3_4_3,q8_3_4_4,q8_3_4_5,q8_3_4_6,q8_3_4_7,q8_3_4_8,q8_3_4_9,q8_3_4_10,q8_3_4_11,q8_3_4_12,q8_3_4_13,q8_3_4_14,q8_4_1_1,q8_4_1_2,q8_4_1_3,q8_4_1_4,q8_4_1_5,q8_4_1_6,q8_4_1_7,q8_4_1_8,q8_4_1_9,q8_4_1_10,q8_4_1_11,q8_4_3_1,q8_4_3_2,q8_4_3_3,q8_4_3_4,q8_4_3_5,q8_4_3_6,q8_4_3_7,q8_4_3_8,q8_4_3_9,q8_4_3_10,q8_4_3_11,q8_4_3_12,q8_4_3_13,q8_4_3_14,q8_4_3_15,dq1,dq2_1,dq2_2,dq3,dq4_1,dq4_2,dq5_1,dq5_2,dq6_1,dq6_2,dq7_1,dq7_2,dq8_1,dq8_2,dq9,dq9_1,dq10,dq11,dq12,dq13
564,1,29,1,1,5,10,-1,-1,5,5,2,5,2,5,4,3,2,2,2,3,2,2,1,1,1,3,1,2,3,3,1,3,1,3,2,2,2,2,3,1,2,1,4,4,4,3,3,4,4,3,5,5,2,5,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,2,4,4,1,3,1,3,1,4,2,2,1,1,2,1,1,1,4,1,4,1,1,1,1,2,1,1,1,3,5,4,1,4,1,1,2,2,2,1,1,1,3,4,1,4,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,5,4,4,4,4,5,3,3,1,4,4,4,4,5,4,4,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,5,2,3,2,8,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,1,1,1,3,-1,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,2,1,1,1,1,1,1,1,1,-1,24,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,24,21,2,4,3,3,3,11,11,-1,-1,1,1,1,3,2,2,8,8
459,1,23,1,1,1,4,-1,-1,5,4,1,5,1,4,4,4,1,1,2,2,3,1,2,1,2,1,2,2,2,3,3,3,2,3,2,3,2,2,3,1,2,2,4,4,4,4,4,3,3,3,2,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1,2,1,3,1,3,1,1,2,2,4,2,2,1,4,2,2,3,2,2,3,2,2,2,3,3,3,2,4,2,2,2,3,2,1,1,1,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,1,2,1,5,5,3,5,5,5,4,2,1,5,4,5,3,3,1,4,3,2,3,3,4,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,5,1,1,3,8,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,2,250,-1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,22,21,2,4,4,5,4,11,11,-1,-1,10,1,1,1,2,5,5,6
725,1,24,1,1,0,2,-1,-1,3,3,3,3,3,3,3,4,3,2,2,3,3,3,3,2,2,3,2,3,3,3,3,1,3,2,2,2,3,3,2,3,4,3,2,3,3,4,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,2,3,2,3,3,3,3,3,2,4,3,2,2,4,2,4,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,4,3,2,1,4,2,4,1,2,1,2,1,2,1,4,2,1,2,1,1,1,2,3,3,1,1,3,4,4,4,4,4,4,4,2,2,4,4,4,3,3,2,3,3,3,2,3,2,3,3,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,4,2,1,1,8,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,24,24,2,4,4,4,4,11,11,-1,-1,1,1,2,1,2,2,8,8
994,1,31,1,1,2,6,-1,-1,4,3,3,3,4,3,3,4,3,4,2,3,3,2,2,2,2,3,2,2,2,4,4,2,3,2,3,3,2,3,2,2,3,3,3,3,4,4,4,3,3,3,4,2,4,2,1,1,1,1,1,1,1,1,1,4,2,3,1,1,1,1,1,1,2,4,3,3,3,5,3,4,4,4,2,2,3,4,3,2,2,4,4,2,4,2,4,3,2,4,1,2,2,4,2,4,2,4,1,2,1,1,3,2,1,1,1,4,1,4,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,3,3,3,4,4,4,5,1,2,4,3,4,1,4,2,2,3,3,1,4,2,2,4,1,1,2,1,2,1,1,1,1,3,1,2,4,2,1,4,1,1,1,8,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,1,1,1,4,-1,6,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,1,1,1,1,1,1,1,1,-1,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,29,25,2,4,3,2,4,13,11,-1,-1,1,1,1,2,1,2,1,1
416,1,22,1,1,0,3,-1,-1,5,5,1,1,1,5,3,3,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,3,1,4,3,3,1,3,3,1,3,3,3,5,5,5,4,1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,3,1,3,2,2,2,4,2,1,1,1,4,1,1,4,4,1,1,4,1,1,3,3,3,3,3,2,2,3,3,2,3,3,1,1,1,2,1,1,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,5,5,5,3,1,1,5,1,1,1,5,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,8,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1,1,1,1,1,3,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,-1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,22,20,1,4,4,5,5,11,11,-1,-1,2,1,2,2,2,2,14,8
27,1,19,1,1,0,9,-1,-1,3,3,2,3,2,3,3,3,2,4,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,4,3,3,4,3,4,2,2,2,2,3,1,2,3,4,3,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,2,2,4,3,3,2,3,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,5,4,1,1,8,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,5,1,1,1,5,1,1,1,1,4,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,19,19,2,4,4,4,4,11,11,-1,-1,1,1,2,4,2,4,5,4
22,1,19,1,1,1,8,-1,-1,4,3,3,4,4,3,4,3,3,3,2,2,1,2,3,2,2,3,2,2,2,3,2,3,2,3,3,3,2,2,3,1,3,3,3,2,4,3,2,4,3,3,3,3,2,3,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,4,3,4,3,2,2,4,3,3,2,4,2,3,2,3,3,3,3,2,2,3,2,4,4,3,4,4,3,3,3,3,4,3,2,3,3,2,2,1,3,1,1,3,3,2,4,2,2,1,3,3,2,2,4,2,2,3,2,2,2,3,2,3,2,1,2,3,3,4,3,3,3,3,3,4,3,4,3,3,4,3,3,4,3,3,4,4,3,3,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,4,2,3,2,8,1,-1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,1,1,1,1,3,200,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,19,19,2,4,4,4,4,11,11,-1,-1,1,1,1,1,1,4,8,5
865,1,20,1,1,0,4,-1,-1,4,5,3,5,2,4,4,4,2,3,1,1,1,1,2,2,1,2,1,1,2,3,2,3,3,3,4,3,1,3,2,1,2,2,4,5,2,4,5,1,3,3,3,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,3,3,3,3,2,4,2,3,2,3,2,3,3,3,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,2,3,3,3,4,2,3,3,4,3,2,2,3,2,2,2,3,2,3,4,2,3,3,2,3,1,2,2,3,4,1,3,3,3,2,2,2,4,3,4,3,1,3,3,3,4,2,1,3,3,2,1,2,3,3,3,2,3,2,2,3,2,2,2,3,2,4,2,3,2,3,4,3,3,4,1,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,20,22,2,4,4,4,4,11,11,-1,-1,2,2,1,1,2,2,1,4
1138,1,21,1,1,1,2,-1,-1,3,2,4,3,4,2,2,4,3,4,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,2,3,2,3,3,3,3,1,5,5,2,5,2,3,5,2,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,5,2,5,2,4,2,4,4,2,3,4,4,2,2,4,3,3,3,2,2,4,3,4,3,4,3,4,2,4,4,4,3,4,4,2,1,1,1,1,2,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,5,5,5,5,4,5,5,1,1,5,5,5,1,4,3,2,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,20,25,2,4,3,2,5,11,13,-1,-1,2,10,1,3,2,2,1,5
551,1,22,1,1,1,3,-1,-1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,4,5,5,3,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,4,4,2,4,1,4,1,4,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,4,5,5,5,5,5,5,5,1,1,5,5,5,3,3,3,1,3,1,1,5,2,1,3,1,1,1,1,1,1,1,1,3,2,1,2,5,3,3,1,1,3,1,5,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,21,20,1,3,4,4,5,11,11,-1,-1,1,1,1,2,2,2,6,1
